year,state_name,total_agencies,participating_agencies,participation_pct,nibrs_participating_agencies,nibrs_participation_pct,covered_agencies,covered_pct,total_population,nibrs_participating_population
1984,Wisconsin,289,260,89.97,11,3.81,12,4.15,4797837,4516858
1984,Wyoming,75,73,97.33,0,0.00,0,0.00,511000,510126
1983,Alabama,388,322,82.99,74,19.07,84,21.65,4018684,3737170
1983,Alaska,30,22,73.33,1,3.33,1,3.33,525359,515122
1983,Arizona,100,93,93.00,3,3.00,3,3.00,2975728,2937236
1983,Arkansas,219,206,94.06,17,7.76,17,7.76,2357259,2286159
1983,California,698,688,98.57,33,4.73,33,4.73,25457775,25450906
1983,Canal Zone,1,0,0.00,0,0.00,0,0.00,0,0
1983,Colorado,253,210,83.00,9,3.56,10,3.95,3160502,3113981
1983,Connecticut,115,104,90.43,5,4.35,7,6.09,3205164,2788799
1983,Delaware,59,58,98.31,6,10.17,6,10.17,607678,607678
1983,District of Columbia,3,3,100.00,0,0.00,0,0.00,623000,623000
1983,Florida,729,720,98.77,32,4.39,32,4.39,10806691,10796478
1983,Georgia,534,216,40.45,2,0.37,5,0.94,5764320,4296163
1983,Guam,1,0,0.00,0,0.00,0,0.00,0,0
1983,Hawaii,14,14,100.00,9,64.29,9,64.29,1072227,1072227
1983,Idaho,114,109,95.61,13,11.40,13,11.40,1011239,999149
1983,Illinois,786,609,77.48,80,10.18,95,12.09,11588790,10992282
1983,Indiana,340,249,73.24,2,0.59,5,1.47,5492393,4211964
1983,Iowa,230,230,100.00,7,3.04,7,3.04,2917664,2917664
1983,Kansas,269,260,96.65,17,6.32,17,6.32,2457371,2445722
1983,Kentucky,490,350,71.43,6,1.22,12,2.45,3725773,2720899
1983,Louisiana,183,104,56.83,6,3.28,9,4.92,4456297,3560602
1983,Maine,138,136,98.55,5,3.62,5,3.62,1154058,1150430
1983,Maryland,176,172,97.73,16,9.09,16,9.09,4385408,4384555
1983,Massachusetts,415,277,66.75,6,1.45,6,1.45,5783341,4991188
1983,Michigan,755,383,50.73,50,6.62,85,11.26,9231383,5989835
1983,Minnesota,293,293,100.00,7,2.39,7,2.39,4158158,4158158
1983,Mississippi,213,77,36.15,0,0.00,0,0.00,2587000,1247637
1983,Missouri,309,210,67.96,8,2.59,19,6.15,5042663,4144539
1983,Montana,109,47,43.12,6,5.50,9,8.26,889228,519472
1983,Nebraska,226,154,68.14,43,19.03,61,26.99,1671779,1492392
1983,Nevada,34,23,67.65,1,2.94,2,5.88,896228,793771
